al43551_center,"al43551"
al43551,"al43551"
GasA Ilfah,"GasA Ilfah"
MoonA Zakee,"MoonA Zakee"
Zakee Asteroid Cluster,"Zakee Asteroid Cluster"
MoonB Zafeer,"MoonB Zafeer"
Zafeer Asteroid Cluster,"Zafeer Asteroid Cluster"
MoonC Rafee,"MoonC Rafee"
MoonD Shaneem,"MoonD Shaneem"
Shaneem Asteroid Cluster Alpha,"Shaneem Asteroid Cluster Alpha"
Shaneem Asteroid Cluster Beta,"Shaneem Asteroid Cluster Beta"
MoonB Zafeer Lpoint,"MoonB Zafeer Lpoint"
MoonC Rafee Lpoint,"MoonC Rafee Lpoint"
MoonD Shaneem Lpoint,"MoonD Shaneem Lpoint"
