al42217_center,"al42217"
al42217,"al42217"
GasA Ghanee,"GasA Ghanee"
MoonA Duseelah,"MoonA Duseelah"
Duseelah Asteroid Cluster,"Duseelah Asteroid Cluster"
MoonB Bareef,"MoonB Bareef"
Bareef Asteroid Cluster,"Bareef Asteroid Cluster"
MoonC Buheerah,"MoonC Buheerah"
Buheerah Asteroid Cluster Alpha,"Buheerah Asteroid Cluster Alpha"
Buheerah Asteroid Cluster Beta,"Buheerah Asteroid Cluster Beta"
MoonD Shaqeer,"MoonD Shaqeer"
MoonE Haadee,"MoonE Haadee"
MoonF Runeerah,"MoonF Runeerah"
MoonG Lahmil,"MoonG Lahmil"
Lahmil Asteroid Cluster Alpha,"Lahmil Asteroid Cluster Alpha"
Lahmil Asteroid Cluster Beta,"Lahmil Asteroid Cluster Beta"
MoonH Bakhleegh,"MoonH Bakhleegh"
MoonI Ahreem,"MoonI Ahreem"
Ahreem Asteroid Cluster Beta,"Ahreem Asteroid Cluster Beta"
MoonJ Jubeer,"MoonJ Jubeer"
GasA Ufeer,"GasA Ufeer"
MoonA Himeesah,"MoonA Himeesah"
Himeesah Asteroid Cluster,"Himeesah Asteroid Cluster"
MoonB Murfah,"MoonB Murfah"
Murfah Asteroid Cluster Alpha,"Murfah Asteroid Cluster Alpha"
Murfah Asteroid Cluster Beta,"Murfah Asteroid Cluster Beta"
MoonC Satool,"MoonC Satool"
MoonD Hadee,"MoonD Hadee"
Hadee Asteroid Cluster,"Hadee Asteroid Cluster"
MoonE Wahl,"MoonE Wahl"
MoonF Imaaeel,"MoonF Imaaeel"
PlanetA Sabd,"PlanetA Sabd"
MoonA Farreen,"MoonA Farreen"
Farreen Asteroid Cluster,"Farreen Asteroid Cluster"
MoonG Lahmil Lpoint,"MoonG Lahmil Lpoint"
MoonA Duseelah Lpoint,"MoonA Duseelah Lpoint"
MoonA Farreen Lpoint,"MoonA Farreen Lpoint"
