hd2271_center,"hd2271"
HD2271,"HD2271"
GasA Jucronius,"GasA Jucronius"
MoonA Porius,"MoonA Porius"
Porius Asteroid Cluster,"Porius Asteroid Cluster"
MoonB Tannia,"MoonB Tannia"
Tannia Asteroid Cluster,"Tannia Asteroid Cluster"
MoonC Callius,"MoonC Callius"
Callius Asteroid Cluster,"Callius Asteroid Cluster"
MoonD Clerent,"MoonD Clerent"
Clerent Asteroid Cluster,"Clerent Asteroid Cluster"
MoonE Semillio,"MoonE Semillio"
Semillio Asteroid Cluster Alpha,"Semillio Asteroid Cluster Alpha"
Semillio Asteroid Cluster Beta,"Semillio Asteroid Cluster Beta"
MoonF Syctenia,"MoonF Syctenia"
Syctenia Asteroid Cluster Alpha,"Syctenia Asteroid Cluster Alpha"
Syctenia Asteroid Cluster Beta,"Syctenia Asteroid Cluster Beta"
Syctenia Asteroid Cluster Gamma,"Syctenia Asteroid Cluster Gamma"
MoonG Bebivius,"MoonG Bebivius"
Bebivius Asteroid Cluster Alpha,"Bebivius Asteroid Cluster Alpha"
Bebivius Asteroid Cluster Beta,"Bebivius Asteroid Cluster Beta"
MoonH Pania,"MoonH Pania"
MoonI Suso,"MoonI Suso"
MoonJ Velius,"MoonJ Velius"
Velius Asteroid Cluster,"Velius Asteroid Cluster"
MoonK Orito,"MoonK Orito"
GasB Bassornis,"GasB Bassornis"
MoonA Maro,"MoonA Maro"
Maro Asteroid Cluster,"Maro Asteroid Cluster"
MoonB Postis,"MoonB Postis"
Postis Asteroid Cluster,"Postis Asteroid Cluster"
MoonC Vula,"MoonC Vula"
MoonD Binia,"MoonD Binia"
MoonE Olvia,"MoonE Olvia"
Olvia Asteroid Cluster Alpha,"Olvia Asteroid Cluster Alpha"
Olvia Asteroid Cluster Beta,"Olvia Asteroid Cluster Beta"
MoonF Arsius,"MoonF Arsius"
MoonG Simius,"MoonG Simius"
Simius Asteroid Cluster,"Simius Asteroid Cluster"
MoonH Pubor,"MoonH Pubor"
MoonI Flassor,"MoonI Flassor"
Flassor Asteroid Cluster,"Flassor Asteroid Cluster"
MoonJ Arterus,"MoonJ Arterus"
Arterus Asteroid Cluster,"Arterus Asteroid Cluster"
MoonK Asiso,"MoonK Asiso"
Asiso Asteroid Cluster Alpha,"Asiso Asteroid Cluster Alpha"
Asiso Asteroid Cluster Beta,"Asiso Asteroid Cluster Beta"
MoonL Varro,"MoonL Varro"
MoonM Aleius,"MoonM Aleius"
MoonC Vula Lpoint,"MoonC Vula Lpoint"
MoonI Suso Lpoint,"MoonI Suso Lpoint"
MoonL Varro Lpoint,"MoonL Varro Lpoint"
