Center,xu_xuan_center,0,0,0,1,0,0,0,0,,,,

Star,Xu Xuan,xu_xuan_center,0,0,0,1,0,0,0,5.00E+06,5

Belt,The Great Wall Belt,Xu Xuan,40000000000.000000,0.000000,0,1,0,0,0,40000000000.000000,3,0,1,1,1,99,46,40,120,145,14,127,44,34,255,0,0,
Station,Asteroid Base,The Great Wall Belt,13000000.000000,0.000000,0,1,0,0,0,0.00E+00,20,7,0,10,
Station,Mining Outpost,The Great Wall Belt,13000000.000000,127.000000,0,1,0,0,0,0.00E+00,24,6,0,10,
Station,Processing Facility,The Great Wall Belt,13000000.000000,254.000000,0,1,0,0,0,0.00E+00,1,15,0,10,
Station,Manufacturing Station,The Great Wall Belt,13000000.000000,21.000000,0,1,0,0,0,0.00E+00,5,22,0,10,

Body,Manchuria,Xu Xuan,50000000000.000000,30.000000,0,1,0,0,0,11952391.125217,2,0,1,1,33,255,255,255,0,0,0,127,44,34,255,0,0,
Station,Imperial Biosciences Complex,Manchuria,15000000.000000,0.000000,0,1,0,0,0,0.00E+00,6,40,0,10,
Station,System Defense Outpost,Manchuria,15000000.000000,127.000000,0,1,0,0,0,0.00E+00,10,54,0,10,
Body,Holder,Manchuria,400000000.000000,30.000000,0,1,0,0,0,953514.060512,3,0,1,5,33,255,255,255,0,0,0,127,44,34,255,0,0,

Belt,Manchurian Belt,Xu Xuan,62500000000.000000,60.000000,0,1,0,0,0,62500000000.000000,3,0,1,1,1,99,46,40,120,145,14,127,44,34,255,0,0,

Body,Jin Gzhu,Xu Xuan,78125000000.000000,90.000000,0,1,0,0,0,4314828.943754,2,0,1,15,51,255,255,255,0,0,0,127,44,34,255,0,0,
Station,Jin Gzhu Shipyard,Jin Gzhu,15000000.000000,0.000000,0,1,0,0,0,0.00E+00,7,21,0,10,

Belt,Jin Gzhu Belt,Xu Xuan,97656250000.000000,120.000000,0,1,0,0,0,97656250000.000000,3,0,1,1,1,99,46,40,120,145,14,127,44,34,255,0,0,

Belt,Long March Belt,Xu Xuan,122070312500.000000,150.000000,0,1,0,0,0,122070312500.000000,3,0,1,1,1,99,46,40,120,145,14,127,44,34,255,0,0,
Station,Imperial Naval Research Facility,Long March Belt,13000000.000000,150.000000,0,1,0,0,0,0.00E+00,6,40,0,10,
Station,Naval Finishing Shipyard,Long March Belt,13000000.000000,277.000000,0,1,0,0,0,0.00E+00,15,71,0,10,
Station,Naval Component Production Plant,Long March Belt,13000000.000000,44.000000,0,1,0,0,0,0.00E+00,5,22,0,10,
Station,Imperial Tactical Fighter Base,Long March Belt,13000000.000000,171.000000,0,1,0,0,0,0.00E+00,15,71,0,10,
Station,Sensor Outpost,Long March Belt,13000000.000000,298.000000,0,1,0,0,0,0.00E+00,12,90,0,10,
Lpoint,Holder Lpoint,Manchuria,Holder,4,li_po,tau_tsun,providence,bumpys_star,,,,,
